main-category,mid-category,sub-category,percentage,description
常规型技能,创新类技能,内容策略,10.68%,内容策划 广告策划
常规型技能,创新类技能,视觉设计,5.93%,平面设计 美术 PS
常规型技能,创新类技能,媒体运营,4.39%,微信 运营 流量
常规型技能,创新类技能,产品管理,4.26%,产品管理 产品设计
常规型技能,创新类技能,技术素养,3.88%,交计算机 硬件 技术
常规型技能,创新类技能,多媒体技术,3.08%,影视 画面 音响
常规型技能,创新类技能,数据处理,1.91%,数据分析 统计 SPSS
常规型技能,创新类技能,受众分析,1.35%,受众研究 受众定位
常规型技能,创新类技能,网页设计,0.37%,Web H5 网页制作
常规型技能,创新类技能,程序设计,0.18%,Python 代码 程序设计
常规型技能,传统类技能,写作能力,4.97%,写作 文案 文字
常规型技能,传统类技能,编辑排版,2.72%,编辑 排版 Office
常规型技能,传统类技能,新闻报道,1.52%,新闻报道 专题报道
常规型技能,传统类技能,摄影摄像,1.33%,摄影 镜头 照片
常规型技能,传统类技能,新闻敏感,1.01%,新闻热点 新闻剖析
常规型技能,传统类技能,播音播报,0.97%,播音 主持 普通话
常规型技能,传统类技能,主持演讲,0.37%,即兴表达 即兴演说
常规型技能,传统类技能,研究能力,0.33%,研究方法 社会调查
常规型技能,传统类技能,采访调查,0.09%,新闻采访 街头采访
适应型技能,自主类技能,个人素养,12.56%,热情 逻辑 批判性思维
适应型技能,自主类技能,学科知识,5.41%,传播学 理论知识
适应型技能,自主类技能,组织技能,4.65%,活动组织 协调分工
适应型技能,自主类技能,其他知识,3.73%,计算机科学 心理学
适应型技能,自主类技能,职业道德,2.87%,责任心 品德 法律
适应型技能,自主类技能,形象管理,1.61%,形象气质 化妆 礼仪
适应型技能,自主类技能,抗压能力,1.40%,抗压性 适应力 毅力
适应型技能,自主类技能,外语能力,0.45%,英语 外语口语 外语读写
适应型技能,交互类技能,市场营销,11.02%,营销 商务 市场推广
适应型技能,交互类技能,关系管理,4.61%,人脉关系 公共关系
适应型技能,交互类技能,交际能力,2.30%,交流 沟通 语言表达
适应型技能,交互类技能,领导能力,0.03%,领导力 团队管理
